time,discharge_m3s,discharge_cfs
2024-01-01,4.7005888,166.0
2024-01-02,4.6439552,164.0
2024-01-03,4.8421728,171.0
2024-01-04,5.0403904,178.0
2024-01-05,4.9837568,176.0
2024-01-06,4.7572224,168.0
2024-01-07,4.95544,175.0
2024-01-08,4.813856,170.0
2024-01-09,5.0403904,178.0
2024-01-10,4.9837568,176.0
2024-01-11,4.9837568,176.0
2024-01-12,4.8421728,171.0
2024-01-13,4.813856,170.0
2024-01-14,4.8421728,171.0
2024-01-15,4.8988064,173.0
2024-01-16,4.8988064,173.0
2024-01-17,4.95544,175.0
2024-01-18,5.8615775999999995,207.0
2024-01-19,5.9748448,211.0
2024-01-20,5.1253408,181.0
2024-01-21,4.9837568,176.0
2024-01-22,5.0403904,178.0
2024-01-23,5.1536576,182.0
2024-01-24,5.238608,185.0
2024-01-25,5.2102912,184.0
2024-01-26,5.1536576,182.0
2024-01-27,5.1819744,183.0
2024-01-28,5.2952416,187.0
2024-01-29,5.4368256,192.0
2024-01-30,5.5500928,196.0
2024-01-31,5.7483104,203.0
2024-02-01,5.946528,210.0
2024-02-02,6.229696,220.0
2024-02-03,6.4845472,229.0
2024-02-04,6.2013792,219.0
2024-02-05,5.9748448,211.0
2024-02-06,6.0597952,214.0
2024-02-07,6.088112,215.0
2024-02-08,6.0031616,212.0
2024-02-09,5.9748448,211.0
2024-02-10,5.8898944,208.0
2024-02-11,5.1536576,182.0
2024-02-12,5.7483104,203.0
2024-02-13,5.7483104,203.0
2024-02-14,5.5500928,196.0
2024-02-15,5.8615775999999995,207.0
2024-02-16,5.946528,210.0
2024-02-17,4.5023712,159.0
2024-02-18,5.3518752,189.0
2024-02-19,5.7766272,204.0
2024-02-20,5.7766272,204.0
2024-02-21,5.8332608,206.0
2024-02-22,5.804944,205.0
2024-02-23,5.6916768,201.0
2024-02-24,5.7199936,202.0
2024-02-25,5.9748448,211.0
2024-02-26,6.088112,215.0
2024-02-27,5.3518752,189.0
2024-02-28,5.097024,180.0
