time_index,date,discharge_ft3s,discharge_m3s,qualifier
0,2025-10-01,533.0,15.092879233536001,A
1,2025-10-02,508.0,14.384958068736001,A
2,2025-10-03,590.0,16.70693948928,A
3,2025-10-04,486.0,13.761987443712,A
4,2025-10-05,477.0,13.507135824384001,A
5,2025-10-06,463.0,13.110699972096,A
6,2025-10-07,334.0,9.457826761728,A
7,2025-10-08,208.0,5.8899040911360006,A
8,2025-10-09,259.0,7.334063267328,A
9,2025-10-10,338.0,9.571094148096,A
10,2025-10-11,299.0,8.466737131008001,A
11,2025-10-12,296.0,8.381786591232,A
12,2025-10-13,274.0,7.758815966208,A
13,2025-10-14,238.0,6.739409488896,A
