cell_id,reach_id,reach_order,station_m,center_x_m,center_y_m,length_m,width_m,area_m2
boise-glenwood-001,boise-glenwood-nhd-120008049,1,784.33,568756.52,4825004.54,1568.65,24.21,37973.09
boise-glenwood-002,boise-glenwood-nhd-120008049,1,2352.98,567789.75,4826062.57,1568.65,28.17,44189.73
boise-glenwood-003,boise-glenwood-nhd-120008049,1,3921.63,566847.44,4827054.55,1568.65,30.81,48333.28
boise-glenwood-004,boise-glenwood-nhd-120008049,1,5490.29,565521.11,4827797.83,1568.65,13.39,21000.35
boise-glenwood-005,boise-glenwood-nhd-120008049,1,7058.94,564665.0,4828378.08,1568.65,19.67,30855.47
boise-glenwood-006,boise-glenwood-nhd-120008049,1,8627.6,562885.64,4829334.01,1568.65,39.69,62257.87
boise-glenwood-007,boise-glenwood-nhd-120008049,1,10196.25,562073.78,4829983.08,1568.65,36.08,56599.41
boise-glenwood-008,boise-glenwood-nhd-120008049,1,11764.9,561256.11,4831564.05,1568.65,25.16,39474.77
boise-glenwood-009,boise-glenwood-nhd-120008049,1,13333.56,560321.49,4832541.51,1568.65,22.12,34706.31
boise-glenwood-010,boise-glenwood-nhd-120008049,1,14902.21,559196.35,4833383.38,1568.65,14.23,22323.13
boise-glenwood-011,boise-glenwood-nhd-120008049,1,16470.87,558448.17,4834344.86,1568.65,32.26,50607.04
boise-glenwood-012,boise-glenwood-nhd-120008049,1,18039.52,556672.69,4835019.39,1568.65,33.33,52286.34
