fish_id,species,age_days,length_mm,mass_g,cell_id,alive
0,rainbow_trout,418,141.875,32.84072,boise-glenwood-008,True
1,rainbow_trout,341,123.89,21.86762,boise-glenwood-009,True
2,rainbow_trout,273,98.269,10.91317,boise-glenwood-011,True
3,rainbow_trout,346,98.902,11.12517,boise-glenwood-008,True
4,rainbow_trout,463,142.403,33.20917,boise-glenwood-012,True
5,rainbow_trout,470,109.742,15.19911,boise-glenwood-004,True
6,rainbow_trout,257,111.219,15.821,boise-glenwood-009,True
7,rainbow_trout,354,154.735,42.60518,boise-glenwood-012,True
8,rainbow_trout,412,119.247,19.50041,boise-glenwood-004,True
9,rainbow_trout,681,84.151,6.85288,boise-glenwood-012,True
10,rainbow_trout,351,150.35,39.08482,boise-glenwood-011,True
11,rainbow_trout,482,147.094,36.60006,boise-glenwood-002,True
12,rainbow_trout,627,107.671,14.35467,boise-glenwood-011,True
13,rainbow_trout,415,120.612,20.17742,boise-glenwood-004,True
14,rainbow_trout,307,158.632,45.90648,boise-glenwood-009,True
15,rainbow_trout,467,143.127,33.71813,boise-glenwood-002,True
16,rainbow_trout,352,126.686,23.38198,boise-glenwood-008,True
17,rainbow_trout,449,131.229,25.98905,boise-glenwood-010,True
18,rainbow_trout,360,136.295,29.11618,boise-glenwood-012,True
19,rainbow_trout,259,131.501,26.15087,boise-glenwood-010,True
20,rainbow_trout,326,97.751,10.74141,boise-glenwood-008,True
21,rainbow_trout,205,126.601,23.33482,boise-glenwood-002,True
22,rainbow_trout,310,105.394,13.46321,boise-glenwood-005,True
23,rainbow_trout,476,89.809,8.33029,boise-glenwood-008,True
24,rainbow_trout,428,157.706,45.10696,boise-glenwood-005,True
25,rainbow_trout,159,114.506,17.26585,boise-glenwood-001,True
26,rainbow_trout,90,139.012,30.89246,boise-glenwood-003,True
27,rainbow_trout,320,111.008,15.73129,boise-glenwood-009,True
28,rainbow_trout,285,109.466,15.08457,boise-glenwood-008,True
29,rainbow_trout,273,118.916,19.33818,boise-glenwood-003,True
