priority,case_id,source_org,source_title,doi_or_item,primary_data,approx_size_mb,source_url,direct_download_or_api,openlimno_use,notes
1,wallens_bend_clinch,USGS ScienceBase,One-dimensional hydraulic and environmental DNA transport models for the Wallens Bend reach of the Clinch River near Kyles Ford Tennessee,10.5066/P9D7NCH1,HEC-RAS 1D model files; 101 main-stem cross sections; calibration WSE and velocity CSV,6.75,https://www.sciencebase.gov/catalog/item/6323764ed34e71c6d67acb60,https://www.sciencebase.gov/catalog/file/get/63238571d34e71c6d67acbdf?f=__disk__06%2F4f%2F09%2F064f096a09254fc43cd21d7ba5bc475bc10a185c,Use HEC-RAS geometry importer for cross sections; use calibration CSVs for Manning/slope validation; convert outputs to IBM habitat cells,Best small real hydraulic-model case to wire next
1,wallens_bend_calibration,USGS ScienceBase,Velocity and water-surface elevation measurements from the Wallens Bend reach of the Clinch River near Kyles Ford Tennessee,10.5066/P9D7NCH1,WSE profiles and velocity measurements used to calibrate/evaluate the 1D model,0.35,https://www.sciencebase.gov/catalog/item/63237e7ad34e71c6d67acbaf,https://www.sciencebase.gov/catalog/item/63237e7ad34e71c6d67acbaf?format=json,Use as observed calibration/evaluation data for generated hydraulic cells,Collection JSON lists all WSE and velocity CSV files
2,big_river_missouri_dem,USGS ScienceBase,Hydraulic measurements from select reaches of the Big River Missouri,10.5066/P9K3ENAX,Bathymetric-topographic DEMs for four reaches; WSE profiles; sediment grain size,1.9-3.4 per DEM,https://www.sciencebase.gov/catalog/item/5f92e3f882ce720ee2d57820,https://www.sciencebase.gov/catalog/item/6260324ed34e85fa62b88eb4?format=json,Use DEM zips with preprocess gis-hydraulics --dem; use WSE profiles for calibration; good habitat/IBM calibration case,Freshwater mussel habitat study with field data
2,big_river_missouri_wse,USGS ScienceBase,Water-surface elevation measurements for four reaches of the Big River Missouri,10.5066/P9K3ENAX,Water-surface profile CSVs over multiple dates/reaches,0.01-0.75 per CSV,https://www.sciencebase.gov/catalog/item/626033a6d34e85fa62b88ebc,https://www.sciencebase.gov/catalog/item/626033a6d34e85fa62b88ebc?format=json,Use with DEM-derived sections to calibrate builtin-1d slope/Manning and evaluate WSE residuals,Collection JSON lists all CSVs
3,johnson_creek_sycamore,USGS ScienceBase,Flood inundation mapping data for Johnson Creek near Sycamore Oregon,10.5066/F75X273G,HEC-RAS model boundary; flood extent polygons; depth rasters for 800-3080 cfs,3.3 per raster,https://www.sciencebase.gov/catalog/item/58812db1e4b00a062356ff95,https://www.sciencebase.gov/catalog/item/58812db1e4b00a062356ff95?format=json,Use rasters as real depth validation layers and floodplain GIS case; can derive hydraulic cells from raster samples,Good small GIS+depth-raster validation case
3,johnson_creek_stage11_raster,USGS ScienceBase,Flood inundation depth for a flow of 1200 cfs at gage 14211500 Johnson Creek near Sycamore Oregon,10.5066/F75X273G,Depth raster GeoTIFF zip for one modeled flow,3.35,https://www.sciencebase.gov/catalog/item/58f78978e4b0b7ea5451f0d6,https://www.sciencebase.gov/catalog/file/get/58f78978e4b0b7ea5451f0d6?f=__disk__d1%2Fe4%2Fb3%2Fd1e4b3a2517339d9c980c4e7c96bfc7199661757,Use as a small real raster fixture for depth import and map UI validation,Single-stage sample from the Johnson Creek collection
4,kalamazoo_trowbridge_2d,USGS ScienceBase,2D hydraulic model HEC-RAS of Kalamazoo River Trowbridge Dam to Allegan City Dam reach,10.5066/P13CPA5B,Complete 2D HEC-RAS model; calibration WSE/velocity data; raster outputs; substrate data,39 calibration; 332 rasters; 3121 model,https://www.sciencebase.gov/catalog/item/67a38201d34ee33d441d2f22,https://www.sciencebase.gov/catalog/item/67a38201d34ee33d441d2f22?format=json,Use calibration_data.zip immediately; download raster outputs/model archive for 2D HEC-RAS import and IBM habitat validation,Excellent complete 2D model but model zip is large
5,willamette_2d_salmonid,USGS ScienceBase,Two-dimensional HEC-RAS models and topo-bathymetric datasets for the Willamette River Oregon,10.5066/P9NB0KUT,Five 2D HEC-RAS model archives with topo-bathymetric DEM for juvenile salmonid habitat flows,2343-6908 per reach,https://www.sciencebase.gov/catalog/item/620e94dad34e6c7e83baa7ce,https://www.sciencebase.gov/catalog/item/620e94dad34e6c7e83baa7ce?format=json,Use for large-scale salmonid habitat benchmark and external HEC-RAS output import,High-value but too large for CI/default downloads
6,mohawk_hecras_water_quality,USGS ScienceBase,HEC-RAS hydraulic temperature and nutrient models for the Mohawk River between Rome and Cohoes New York,10.5066/P9FRAYLT,1D unsteady hydraulic plus water temperature/nutrient HEC-RAS NSM model archive,104233,https://www.sciencebase.gov/catalog/item/604a62b3d34eb120311b0e38,https://www.sciencebase.gov/catalog/item/604a62b3d34eb120311b0e38?format=json,Use only as heavyweight water-quality/hydraulic benchmark; not practical for local default tests,Complete but about 104 GB
1,nwis_nhd_service_suite,USGS NWIS and USGS NHD,Boise Truckee Delaware Yakima real service-backed examples,USGS web services,NWIS daily discharge plus NHD river-area boundary and linked flowlines,small API,https://waterservices.usgs.gov/nwis/dv/,https://hydro.nationalmap.gov/arcgis/rest/services/nhd/MapServer,Already implemented in examples/real_hydro_ibm_cases; rerun with build_cases.py,Good repeatable online smoke suite
