time_index,cell_id,station_m,center_x_m,center_y_m,length_m,width_m,area_m2,discharge_m3s,water_surface_m,depth_m,velocity_ms,flow_area_m2,top_width_m,hydraulic_radius_m,manning_n,slope,habitat_type,hydraulic_source,cross_section_source,date,reach_id
0,gis-hydro-001,784.327,568756.518,4825004.542,1568.654,24.207,37973.086,15.092879233536001,19.01263137142903,0.7582606073665287,0.7487035810840421,20.158684444494227,26.585430192010364,0.754339847533059,0.035,0.001,run,builtin-1d-gis-boundary,synthetic-boundary-width,2025-10-01,boise_glenwood
0,gis-hydro-002,2352.981,567789.751,4826062.573,1568.654,28.17,44189.728,15.092879233536001,17.36638707411548,0.7134456513638197,0.7195880726487598,20.974332131409618,29.39864037479964,0.7107697695061181,0.035,0.001,run,builtin-1d-gis-boundary,synthetic-boundary-width,2025-10-01,boise_glenwood
0,gis-hydro-003,3921.635,566847.443,4827054.552,1568.654,30.812,48333.285,15.092879233536001,15.858860038198749,0.7487957640332541,0.7426247811896681,20.323694570705747,27.141839666981838,0.7451718018915015,0.035,0.001,run,builtin-1d-gis-boundary,synthetic-boundary-width,2025-10-01,boise_glenwood
0,gis-hydro-004,5490.289,565521.108,4827797.83,1568.654,13.387,21000.353,15.092879233536001,14.343221960058761,0.7791944542112929,0.7620138850448246,19.806567215829904,25.41928668611775,0.7745446010992003,0.035,0.001,margin,builtin-1d-gis-boundary,synthetic-boundary-width,2025-10-01,boise_glenwood
0,gis-hydro-005,7058.942,564665.004,4828378.085,1568.654,19.67,30855.472,15.092879233536001,12.680716408177737,0.7252177126998636,0.727317906838003,20.751419828437786,28.61405542782972,0.7222525052992399,0.035,0.001,run,builtin-1d-gis-boundary,synthetic-boundary-width,2025-10-01,boise_glenwood
0,gis-hydro-006,8627.596,562885.639,4829334.006,1568.654,39.689,62257.871,15.092879233536001,10.93968106064062,0.6238534305547201,0.6588473131796553,22.908007563537648,36.72017567198152,0.6227004484590596,0.035,0.001,run,builtin-1d-gis-boundary,synthetic-boundary-width,2025-10-01,boise_glenwood
0,gis-hydro-007,10196.25,562073.784,4829983.077,1568.654,36.082,56599.409,15.092879233536001,9.333171755555316,0.6011306314746537,0.6428912781117773,23.476565552211234,39.05401642005845,0.6002168848112602,0.035,0.001,run,builtin-1d-gis-boundary,synthetic-boundary-width,2025-10-01,boise_glenwood
0,gis-hydro-008,11764.904,561256.111,4831564.054,1568.654,25.165,39474.771,15.092879233536001,8.027728669518082,0.7557760629320909,0.7471115364087133,20.201641251701034,26.72966536321252,0.7519351103480779,0.035,0.001,run,builtin-1d-gis-boundary,synthetic-boundary-width,2025-10-01,boise_glenwood
0,gis-hydro-009,13333.558,560321.495,4832541.506,1568.654,22.125,34706.308,15.092879233536001,6.502509171942949,0.7806546426424453,0.7629353736295684,19.78264444828864,25.341096264189474,0.7759499829057959,0.035,0.001,riffle,builtin-1d-gis-boundary,synthetic-boundary-width,2025-10-01,boise_glenwood
0,gis-hydro-010,14902.212,559196.347,4833383.376,1568.654,14.231,22323.125,15.092879233536001,5.249664164993191,0.9576789170722128,0.8675859486192543,17.396408110984297,18.165178120625306,0.9409578291072539,0.035,0.001,margin,builtin-1d-gis-boundary,synthetic-boundary-width,2025-10-01,boise_glenwood
0,gis-hydro-011,16470.866,558448.169,4834344.865,1568.654,32.261,50607.04,15.092879233536001,3.24519307968557,0.7115221367899661,0.7183195075670291,21.01137317661894,29.53017494495927,0.7088911990506881,0.035,0.001,run,builtin-1d-gis-boundary,synthetic-boundary-width,2025-10-01,boise_glenwood
0,gis-hydro-012,18039.52,556672.69,4835019.392,1568.654,33.332,52286.337,15.092879233536001,1.7758269482640765,0.7688052234322231,0.7554313376119762,19.979154268668143,25.98727695875167,0.7645301705819586,0.035,0.001,riffle,builtin-1d-gis-boundary,synthetic-boundary-width,2025-10-01,boise_glenwood
1,gis-hydro-001,784.327,568756.518,4825004.542,1568.654,24.207,37973.086,14.384958068736001,18.986544044501127,0.7432524004883748,0.7388184068238272,19.47022155359771,26.195975338665917,0.7394501057651782,0.035,0.001,run,builtin-1d-gis-boundary,synthetic-boundary-width,2025-10-02,boise_glenwood
