fish_id,species,age_days,length_mm,mass_g,cell_id,alive
0,rainbow_trout,418,144.318,34.5667,gis-hydro-008,True
1,rainbow_trout,341,124.698,22.29835,gis-hydro-009,True
2,rainbow_trout,273,96.748,10.41424,gis-hydro-011,True
3,rainbow_trout,346,97.438,10.63857,gis-hydro-008,True
4,rainbow_trout,463,144.895,34.98273,gis-hydro-012,True
5,rainbow_trout,470,109.264,15.00138,gis-hydro-004,True
6,rainbow_trout,257,110.875,15.67476,gis-hydro-009,True
7,rainbow_trout,354,158.347,45.65922,gis-hydro-012,True
8,rainbow_trout,412,119.633,19.69045,gis-hydro-004,True
9,rainbow_trout,681,81.346,6.19031,gis-hydro-012,True
10,rainbow_trout,351,153.564,41.64501,gis-hydro-011,True
11,rainbow_trout,482,150.012,38.82144,gis-hydro-002,True
12,rainbow_trout,627,107.005,14.08983,gis-hydro-011,True
13,rainbow_trout,415,121.122,20.43454,gis-hydro-004,True
14,rainbow_trout,307,162.599,49.43696,gis-hydro-009,True
15,rainbow_trout,467,145.684,35.55777,gis-hydro-002,True
16,rainbow_trout,352,127.748,23.97514,gis-hydro-008,True
17,rainbow_trout,449,132.705,26.87551,gis-hydro-010,True
18,rainbow_trout,360,138.231,30.37455,gis-hydro-012,True
19,rainbow_trout,259,133.001,27.05607,gis-hydro-010,True
20,rainbow_trout,326,96.183,10.23273,gis-hydro-008,True
21,rainbow_trout,205,127.655,23.92284,gis-hydro-002,True
22,rainbow_trout,310,104.521,13.13132,gis-hydro-005,True
23,rainbow_trout,476,87.519,7.70915,gis-hydro-008,True
24,rainbow_trout,428,161.589,48.52094,gis-hydro-005,True
25,rainbow_trout,159,114.462,17.24556,gis-hydro-001,True
26,rainbow_trout,90,141.195,32.37073,gis-hydro-003,True
27,rainbow_trout,320,110.645,15.57752,gis-hydro-009,True
28,rainbow_trout,285,108.963,14.87754,gis-hydro-008,True
29,rainbow_trout,273,119.272,19.51236,gis-hydro-003,True
30,rainbow_trout,415,126.781,23.43476,gis-hydro-006,True
31,rainbow_trout,150,124.19,22.02695,gis-hydro-012,True
32,rainbow_trout,408,122.692,21.2395,gis-hydro-004,True
33,rainbow_trout,386,106.14,13.75086,gis-hydro-011,True
34,rainbow_trout,318,118.273,19.02625,gis-hydro-008,True
35,rainbow_trout,370,114.922,17.45453,gis-hydro-006,True
36,rainbow_trout,392,91.427,8.78875,gis-hydro-012,True
37,rainbow_trout,320,112.364,16.31486,gis-hydro-005,True
38,rainbow_trout,344,119.715,19.73078,gis-hydro-008,True
39,rainbow_trout,559,96.168,10.22782,gis-hydro-005,True
40,rainbow_trout,178,94.31,9.64652,gis-hydro-009,True
41,rainbow_trout,467,103.173,12.62971,gis-hydro-011,True
42,rainbow_trout,469,124.245,22.05655,gis-hydro-007,True
43,rainbow_trout,465,184.332,72.02738,gis-hydro-006,True
44,rainbow_trout,506,115.966,17.93434,gis-hydro-012,True
45,rainbow_trout,454,61.685,2.69927,gis-hydro-001,True
46,rainbow_trout,297,105.483,13.49715,gis-hydro-010,True
47,rainbow_trout,373,105.063,13.33657,gis-hydro-007,True
48,rainbow_trout,334,135.771,28.78173,gis-hydro-007,True
49,rainbow_trout,207,121.25,20.49952,gis-hydro-010,True
50,rainbow_trout,473,166.745,53.3163,gis-hydro-010,True
51,rainbow_trout,346,118.091,18.93879,gis-hydro-011,True
52,rainbow_trout,254,103.904,12.89998,gis-hydro-008,True
53,rainbow_trout,245,85.83,7.2714,gis-hydro-002,True
54,rainbow_trout,109,104.907,13.27722,gis-hydro-008,True
55,rainbow_trout,406,156.047,43.69789,gis-hydro-003,True
56,rainbow_trout,430,89.218,8.16677,gis-hydro-010,True
57,rainbow_trout,527,83.119,6.6038,gis-hydro-009,True
58,rainbow_trout,316,87.895,7.80878,gis-hydro-009,True
59,rainbow_trout,235,92.108,8.98647,gis-hydro-010,True
60,rainbow_trout,271,109.796,15.22142,gis-hydro-001,True
61,rainbow_trout,454,154.447,42.36768,gis-hydro-012,True
62,rainbow_trout,295,93.38,9.3641,gis-hydro-009,True
63,rainbow_trout,244,114.743,17.37307,gis-hydro-004,True
64,rainbow_trout,595,142.512,33.28537,gis-hydro-004,True
65,rainbow_trout,324,69.852,3.9195,gis-hydro-006,True
66,rainbow_trout,397,105.494,13.5013,gis-hydro-002,True
67,rainbow_trout,420,149.325,38.29105,gis-hydro-002,True
68,rainbow_trout,343,98.325,10.9317,gis-hydro-004,True
69,rainbow_trout,341,107.493,14.28346,gis-hydro-004,True
70,rainbow_trout,466,131.183,25.9613,gis-hydro-010,True
71,rainbow_trout,430,98.962,11.14562,gis-hydro-006,True
72,rainbow_trout,297,104.555,13.14402,gis-hydro-001,True
73,rainbow_trout,452,145.992,35.78361,gis-hydro-010,True
74,rainbow_trout,157,80.653,6.03335,gis-hydro-005,True
75,rainbow_trout,382,99.888,11.46124,gis-hydro-012,True
76,rainbow_trout,248,95.934,10.15337,gis-hydro-004,True
77,rainbow_trout,242,126.441,23.24696,gis-hydro-012,True
78,rainbow_trout,469,113.996,17.0361,gis-hydro-003,True
79,rainbow_trout,311,164.007,50.73276,gis-hydro-005,True
80,rainbow_trout,360,108.912,14.85696,gis-hydro-007,True
81,rainbow_trout,258,115.385,17.66634,gis-hydro-002,True
82,rainbow_trout,439,104.354,13.06867,gis-hydro-011,True
83,rainbow_trout,432,98.584,11.01849,gis-hydro-005,True
84,rainbow_trout,273,75.79,5.00648,gis-hydro-001,True
85,rainbow_trout,525,67.359,3.51467,gis-hydro-011,True
86,rainbow_trout,231,91.992,8.95264,gis-hydro-007,True
87,rainbow_trout,326,133.797,27.54485,gis-hydro-010,True
88,rainbow_trout,488,62.873,2.85815,gis-hydro-004,True
89,rainbow_trout,476,152.122,40.48305,gis-hydro-007,True
90,rainbow_trout,267,135.147,28.38654,gis-hydro-007,True
91,rainbow_trout,484,111.272,15.84364,gis-hydro-005,True
92,rainbow_trout,494,145.594,35.49211,gis-hydro-010,True
93,rainbow_trout,341,140.728,32.05116,gis-hydro-007,True
94,rainbow_trout,413,127.744,23.97285,gis-hydro-003,True
95,rainbow_trout,370,108.467,14.67523,gis-hydro-010,True
96,rainbow_trout,90,105.555,13.52491,gis-hydro-001,True
97,rainbow_trout,385,101.509,12.02844,gis-hydro-008,True
98,rainbow_trout,387,81.481,6.22104,gis-hydro-005,True
99,rainbow_trout,378,152.899,41.10701,gis-hydro-002,True
100,rainbow_trout,337,128.935,24.64984,gis-hydro-002,True
101,rainbow_trout,465,133.188,27.17037,gis-hydro-002,True
102,rainbow_trout,183,137.555,29.93161,gis-hydro-004,True
103,rainbow_trout,485,114.645,17.32861,gis-hydro-001,True
104,rainbow_trout,325,73.211,4.51269,gis-hydro-007,True
105,rainbow_trout,344,112.138,16.21632,gis-hydro-002,True
106,rainbow_trout,388,134.393,27.91445,gis-hydro-010,True
107,rainbow_trout,359,71.241,4.15812,gis-hydro-008,True
108,rainbow_trout,257,144.291,34.54753,gis-hydro-008,True
109,rainbow_trout,226,119.559,19.65368,gis-hydro-004,True
110,rainbow_trout,428,46.813,1.17978,gis-hydro-005,True
111,rainbow_trout,400,114.452,17.24111,gis-hydro-008,True
112,rainbow_trout,171,122.052,20.90875,gis-hydro-008,True
113,rainbow_trout,478,119.502,19.62545,gis-hydro-005,True
114,rainbow_trout,111,138.704,30.68769,gis-hydro-010,True
115,rainbow_trout,496,138.402,30.48787,gis-hydro-006,True
116,rainbow_trout,333,112.268,16.27291,gis-hydro-011,True
117,rainbow_trout,314,93.711,9.4639,gis-hydro-006,True
118,rainbow_trout,503,114.709,17.35751,gis-hydro-009,True
119,rainbow_trout,229,124.464,22.1733,gis-hydro-010,True
120,rainbow_trout,375,94.873,9.82033,gis-hydro-007,True
121,rainbow_trout,553,115.93,17.91794,gis-hydro-006,True
122,rainbow_trout,355,156.441,44.03029,gis-hydro-011,True
123,rainbow_trout,90,100.158,11.55452,gis-hydro-011,True
124,rainbow_trout,334,182.192,69.54772,gis-hydro-002,True
125,rainbow_trout,468,154.72,42.59312,gis-hydro-012,True
126,rainbow_trout,396,106.764,13.995,gis-hydro-011,True
127,rainbow_trout,327,129.77,25.13172,gis-hydro-011,True
128,rainbow_trout,265,83.115,6.6029,gis-hydro-009,True
129,rainbow_trout,425,100.11,11.53788,gis-hydro-004,True
130,rainbow_trout,409,96.79,10.42758,gis-hydro-008,True
131,rainbow_trout,402,78.058,5.46956,gis-hydro-009,True
132,rainbow_trout,440,108.977,14.88348,gis-hydro-003,True
133,rainbow_trout,464,129.411,24.92336,gis-hydro-006,True
134,rainbow_trout,460,129.089,24.73778,gis-hydro-001,True
135,rainbow_trout,349,92.475,9.09434,gis-hydro-007,True
136,rainbow_trout,513,141.485,32.57084,gis-hydro-005,True
137,rainbow_trout,377,101.975,12.19506,gis-hydro-002,True
138,rainbow_trout,357,103.024,12.57513,gis-hydro-005,True
139,rainbow_trout,296,126.951,23.52918,gis-hydro-012,True
140,rainbow_trout,333,133.431,27.31948,gis-hydro-002,True
141,rainbow_trout,251,165.178,51.82715,gis-hydro-008,True
142,rainbow_trout,296,147.014,36.54057,gis-hydro-001,True
143,rainbow_trout,321,112.662,16.44472,gis-hydro-012,True
144,rainbow_trout,365,104.217,13.01698,gis-hydro-009,True
145,rainbow_trout,371,120.436,20.08935,gis-hydro-002,True
146,rainbow_trout,357,108.321,14.61613,gis-hydro-008,True
147,rainbow_trout,493,96.063,10.19436,gis-hydro-012,True
148,rainbow_trout,195,81.096,6.1333,gis-hydro-003,True
