fish_id,species,age_days,length_mm,mass_g,cell_id,alive
0,rainbow_trout,467,119.176,19.4652,gis-hydro-006,True
1,rainbow_trout,394,45.0,1.04794,gis-hydro-001,True
2,rainbow_trout,268,134.49,27.97508,gis-hydro-001,True
3,rainbow_trout,442,117.463,18.63798,gis-hydro-005,True
4,rainbow_trout,179,131.901,26.39022,gis-hydro-003,True
5,rainbow_trout,253,61.398,2.66167,gis-hydro-009,True
6,rainbow_trout,543,105.013,13.31767,gis-hydro-001,True
7,rainbow_trout,546,60.093,2.49556,gis-hydro-008,True
8,rainbow_trout,318,105.575,13.53257,gis-hydro-010,True
9,rainbow_trout,323,98.283,10.91788,gis-hydro-003,True
10,rainbow_trout,343,133.724,27.49962,gis-hydro-005,True
11,rainbow_trout,493,83.676,6.73752,gis-hydro-007,True
12,rainbow_trout,334,105.763,13.60504,gis-hydro-002,True
13,rainbow_trout,208,104.0,12.93592,gis-hydro-003,True
14,rainbow_trout,365,117.681,18.74187,gis-hydro-003,True
15,rainbow_trout,497,82.466,6.44949,gis-hydro-006,True
16,rainbow_trout,343,120.726,20.23473,gis-hydro-003,True
17,rainbow_trout,310,96.617,10.37192,gis-hydro-001,True
18,rainbow_trout,419,99.78,11.42411,gis-hydro-007,True
19,rainbow_trout,402,128.152,24.20348,gis-hydro-007,True
20,rainbow_trout,387,119.243,19.49823,gis-hydro-006,True
21,rainbow_trout,417,140.677,32.01591,gis-hydro-002,True
22,rainbow_trout,358,161.482,48.42542,gis-hydro-007,True
23,rainbow_trout,459,129.763,25.12731,gis-hydro-005,True
24,rainbow_trout,378,99.212,11.23042,gis-hydro-002,True
25,rainbow_trout,371,147.985,37.2689,gis-hydro-007,True
26,rainbow_trout,168,108.347,14.62678,gis-hydro-002,True
27,rainbow_trout,308,103.128,12.61327,gis-hydro-002,True
28,rainbow_trout,508,129.799,25.14833,gis-hydro-004,True
29,rainbow_trout,479,90.828,8.617,gis-hydro-008,True
30,rainbow_trout,372,122.336,21.05522,gis-hydro-010,True
31,rainbow_trout,280,101.994,12.20157,gis-hydro-002,True
32,rainbow_trout,593,166.492,53.0733,gis-hydro-010,True
33,rainbow_trout,238,158.62,45.89572,gis-hydro-004,True
34,rainbow_trout,501,95.643,10.06147,gis-hydro-006,True
35,rainbow_trout,434,96.669,10.38876,gis-hydro-001,True
36,rainbow_trout,412,101.628,12.07089,gis-hydro-001,True
37,rainbow_trout,423,119.496,19.62249,gis-hydro-002,True
38,rainbow_trout,361,112.034,16.17117,gis-hydro-010,True
39,rainbow_trout,385,109.149,14.95412,gis-hydro-006,True
40,rainbow_trout,328,122.906,21.35072,gis-hydro-008,True
41,rainbow_trout,252,164.017,50.74119,gis-hydro-004,True
42,rainbow_trout,430,153.282,41.416,gis-hydro-002,True
43,rainbow_trout,292,167.467,54.01123,gis-hydro-003,True
44,rainbow_trout,363,150.18,38.95255,gis-hydro-001,True
45,rainbow_trout,430,130.285,25.43199,gis-hydro-007,True
46,rainbow_trout,322,160.541,47.58314,gis-hydro-010,True
47,rainbow_trout,503,117.037,18.43601,gis-hydro-006,True
48,rainbow_trout,403,112.126,16.21105,gis-hydro-007,True
49,rainbow_trout,305,124.538,22.21272,gis-hydro-002,True
50,rainbow_trout,170,141.544,32.61185,gis-hydro-004,True
51,rainbow_trout,307,111.664,16.01166,gis-hydro-001,True
52,rainbow_trout,531,123.863,21.85376,gis-hydro-004,True
53,rainbow_trout,325,124.001,21.92679,gis-hydro-010,True
54,rainbow_trout,535,107.405,14.24877,gis-hydro-010,True
55,rainbow_trout,433,101.884,12.16216,gis-hydro-009,True
56,rainbow_trout,527,128.92,24.64127,gis-hydro-002,True
57,rainbow_trout,291,141.241,32.40236,gis-hydro-002,True
58,rainbow_trout,324,91.467,8.80011,gis-hydro-009,True
59,rainbow_trout,408,96.159,10.22499,gis-hydro-004,True
60,rainbow_trout,453,121.453,20.60244,gis-hydro-009,True
61,rainbow_trout,435,96.043,10.1883,gis-hydro-005,True
62,rainbow_trout,229,121.973,20.86858,gis-hydro-009,True
63,rainbow_trout,396,128.699,24.51465,gis-hydro-006,True
64,rainbow_trout,399,110.383,15.4668,gis-hydro-008,True
65,rainbow_trout,274,117.993,18.89172,gis-hydro-009,True
66,rainbow_trout,375,110.813,15.64853,gis-hydro-010,True
67,rainbow_trout,372,126.446,23.2494,gis-hydro-004,True
68,rainbow_trout,437,97.098,10.52759,gis-hydro-004,True
69,rainbow_trout,318,105.837,13.63375,gis-hydro-003,True
70,rainbow_trout,269,129.764,25.12798,gis-hydro-002,True
71,rainbow_trout,628,98.276,10.91542,gis-hydro-010,True
72,rainbow_trout,224,133.103,27.11823,gis-hydro-002,True
73,rainbow_trout,207,120.042,19.89271,gis-hydro-006,True
74,rainbow_trout,90,98.698,11.05654,gis-hydro-001,True
75,rainbow_trout,431,125.81,22.90055,gis-hydro-005,True
76,rainbow_trout,483,165.296,51.9384,gis-hydro-008,True
77,rainbow_trout,620,146.82,36.39626,gis-hydro-008,True
78,rainbow_trout,484,98.672,11.04785,gis-hydro-004,True
79,rainbow_trout,420,98.148,10.87285,gis-hydro-004,True
80,rainbow_trout,436,113.676,16.89305,gis-hydro-002,True
81,rainbow_trout,573,100.259,11.5895,gis-hydro-002,True
82,rainbow_trout,339,118.259,19.01942,gis-hydro-001,True
83,rainbow_trout,301,133.195,27.17476,gis-hydro-008,True
84,rainbow_trout,349,112.084,16.19303,gis-hydro-003,True
85,rainbow_trout,348,109.435,15.07165,gis-hydro-010,True
86,rainbow_trout,605,104.758,13.22074,gis-hydro-009,True
87,rainbow_trout,565,153.262,41.39983,gis-hydro-004,True
88,rainbow_trout,540,143.79,34.18852,gis-hydro-006,True
89,rainbow_trout,536,108.839,14.82699,gis-hydro-005,True
90,rainbow_trout,373,80.205,5.93341,gis-hydro-002,True
91,rainbow_trout,376,107.503,14.28759,gis-hydro-004,True
92,rainbow_trout,306,114.731,17.36782,gis-hydro-009,True
93,rainbow_trout,251,87.381,7.67271,gis-hydro-007,True
94,rainbow_trout,181,106.137,13.75001,gis-hydro-008,True
95,rainbow_trout,293,96.759,10.41758,gis-hydro-006,True
96,rainbow_trout,622,120.576,20.15941,gis-hydro-007,True
97,rainbow_trout,463,133.185,27.1682,gis-hydro-009,True
98,rainbow_trout,404,130.658,25.65138,gis-hydro-001,True
99,rainbow_trout,228,60.959,2.60506,gis-hydro-005,True
100,rainbow_trout,234,132.819,26.94504,gis-hydro-009,True
101,rainbow_trout,349,134.714,28.11513,gis-hydro-002,True
102,rainbow_trout,90,110.192,15.38684,gis-hydro-002,True
103,rainbow_trout,404,103.667,12.81205,gis-hydro-010,True
104,rainbow_trout,343,126.886,23.49326,gis-hydro-010,True
105,rainbow_trout,302,92.137,8.99484,gis-hydro-010,True
106,rainbow_trout,371,124.355,22.115,gis-hydro-003,True
107,rainbow_trout,460,99.091,11.18921,gis-hydro-004,True
108,rainbow_trout,389,45.0,1.04794,gis-hydro-005,True
109,rainbow_trout,569,113.683,16.89613,gis-hydro-005,True
110,rainbow_trout,333,106.191,13.77088,gis-hydro-003,True
111,rainbow_trout,245,92.282,9.0375,gis-hydro-010,True
112,rainbow_trout,343,122.861,21.32731,gis-hydro-004,True
113,rainbow_trout,404,122.708,21.24778,gis-hydro-010,True
114,rainbow_trout,328,157.707,45.10733,gis-hydro-002,True
115,rainbow_trout,359,96.177,10.23093,gis-hydro-010,True
116,rainbow_trout,409,112.449,16.35175,gis-hydro-005,True
117,rainbow_trout,340,128.583,24.44856,gis-hydro-009,True
118,rainbow_trout,181,136.652,29.34608,gis-hydro-007,True
119,rainbow_trout,254,137.857,30.12929,gis-hydro-009,True
120,rainbow_trout,509,152.903,41.11001,gis-hydro-004,True
121,rainbow_trout,476,152.35,40.66528,gis-hydro-004,True
122,rainbow_trout,345,135.532,28.62995,gis-hydro-007,True
123,rainbow_trout,238,89.03,8.11531,gis-hydro-007,True
124,rainbow_trout,355,151.776,40.20738,gis-hydro-009,True
125,rainbow_trout,479,137.118,29.64688,gis-hydro-010,True
126,rainbow_trout,401,87.263,7.64173,gis-hydro-007,True
127,rainbow_trout,355,128.694,24.51189,gis-hydro-009,True
128,rainbow_trout,404,95.42,9.99126,gis-hydro-004,True
129,rainbow_trout,525,54.628,1.8748,gis-hydro-009,True
130,rainbow_trout,356,132.183,26.55974,gis-hydro-009,True
131,rainbow_trout,177,126.646,23.35973,gis-hydro-009,True
132,rainbow_trout,341,118.431,19.10264,gis-hydro-004,True
