time_index,cell_id,station_m,center_x_m,center_y_m,length_m,width_m,area_m2,discharge_m3s,water_surface_m,depth_m,velocity_ms,flow_area_m2,top_width_m,hydraulic_radius_m,manning_n,slope,habitat_type,hydraulic_source,cross_section_source,date,reach_id
0,gis-hydro-001,1134.448,250314.845,4377153.067,2268.897,36.272,82297.529,10.420599545856,22.21588919043435,0.574349621379072,0.6232452457032059,16.719902185693314,29.111018033836473,0.5729147901740399,0.035,0.001,run,builtin-1d-gis-boundary,synthetic-boundary-width,2025-10-01,truckee_reno
0,gis-hydro-002,3403.345,251572.223,4376973.214,2268.897,41.07,93184.373,10.420599545856,19.992188517904353,0.6017285226588862,0.6426007654743412,16.21628872191577,26.949509805950516,0.5998100939708718,0.035,0.001,run,builtin-1d-gis-boundary,synthetic-boundary-width,2025-10-01,truckee_reno
0,gis-hydro-003,5672.241,255046.34,4377568.3,2268.897,31.733,71998.52,10.420599545856,17.84156872982319,0.6721257094262477,0.6906345644111705,15.08844196748322,22.44883919164957,0.6683016282100186,0.035,0.001,run,builtin-1d-gis-boundary,synthetic-boundary-width,2025-10-01,truckee_reno
0,gis-hydro-004,7941.138,255807.002,4378156.965,2268.897,32.878,74596.156,10.420599545856,15.555559553129084,0.662042479538945,0.6839060990726505,15.236886408800737,23.01496789059805,0.6585620423503481,0.035,0.001,run,builtin-1d-gis-boundary,synthetic-boundary-width,2025-10-01,truckee_reno
0,gis-hydro-005,10210.035,258074.8,4378762.19,2268.897,26.788,60778.296,10.420599545856,13.38963828522993,0.7222594089477619,0.7233017054319713,14.406988767754383,19.947111230774404,0.7162785587397662,0.035,0.001,run,builtin-1d-gis-boundary,synthetic-boundary-width,2025-10-01,truckee_reno
0,gis-hydro-006,12478.931,258880.473,4379286.124,2268.897,38.08,86398.688,10.420599545856,10.94980134575585,0.6216621043519758,0.656454488266891,15.874062455369115,25.53487231124749,0.6193112037831193,0.035,0.001,run,builtin-1d-gis-boundary,synthetic-boundary-width,2025-10-01,truckee_reno
0,gis-hydro-007,14747.828,261459.085,4378545.73,2268.897,44.335,100591.984,10.420599545856,8.615298077128323,0.5821262223748225,0.628781641176653,16.572684161636303,28.46922802073224,0.5805658526400153,0.035,0.001,run,builtin-1d-gis-boundary,synthetic-boundary-width,2025-10-01,truckee_reno
0,gis-hydro-008,17016.724,264315.053,4377788.126,2268.897,43.698,99146.571,10.420599545856,6.352444140285129,0.5857924703825869,0.6313810666815611,16.50445364259182,28.17457457555335,0.5841697869491594,0.035,0.001,run,builtin-1d-gis-boundary,synthetic-boundary-width,2025-10-01,truckee_reno
0,gis-hydro-009,19285.621,264591.542,4377571.85,2268.897,36.727,83329.15,10.420599545856,4.159417470034359,0.6314007133348971,0.6631500908873399,15.713787405069233,24.88718665215474,0.6288104884429562,0.035,0.001,run,builtin-1d-gis-boundary,synthetic-boundary-width,2025-10-01,truckee_reno
0,gis-hydro-010,21554.518,266790.391,4377983.368,2268.897,27.565,62542.0,10.420599545856,2.030172610387126,0.7135635702692221,0.7177281743485633,14.518866498886048,20.34698393222091,0.7080158869416404,0.035,0.001,run,builtin-1d-gis-boundary,synthetic-boundary-width,2025-10-01,truckee_reno
1,gis-hydro-001,1134.448,250314.845,4377153.067,2268.897,36.272,82297.529,12.31782826752,22.28694512480939,0.6172678603250998,0.6538667585440257,18.83843781101257,30.519064772124743,0.6156528273561622,0.035,0.001,run,builtin-1d-gis-boundary,synthetic-boundary-width,2025-10-02,truckee_reno
1,gis-hydro-002,3403.345,251572.223,4376973.214,2268.897,41.07,93184.373,12.31782826752,20.066839522863493,0.6463551704165198,0.6739271024291162,18.277686448758885,28.278084999274476,0.6442010533044945,0.035,0.001,run,builtin-1d-gis-boundary,synthetic-boundary-width,2025-10-02,truckee_reno
1,gis-hydro-003,5672.241,255046.34,4377568.3,2268.897,31.733,71998.52,12.31782826752,17.925488010603274,0.721132628104897,0.7236946991614113,17.02075237222742,23.60280440639216,0.7168624572220943,0.035,0.001,run,builtin-1d-gis-boundary,synthetic-boundary-width,2025-10-02,truckee_reno
1,gis-hydro-004,7941.138,255807.002,4378156.965,2268.897,32.878,74596.156,12.31782826752,15.638148544831774,0.7104221385542484,0.7167254188303954,17.186258424629514,24.19161438240731,0.7065328398918548,0.035,0.001,run,builtin-1d-gis-boundary,synthetic-boundary-width,2025-10-02,truckee_reno
1,gis-hydro-005,10210.035,258074.8,4378762.19,2268.897,26.788,60778.296,12.31782826752,13.480171518478606,0.7743795946399756,0.7575336915687494,16.26043620846942,20.99801740776656,0.767723872669741,0.035,0.001,riffle,builtin-1d-gis-boundary,synthetic-boundary-width,2025-10-02,truckee_reno
1,gis-hydro-006,12478.931,258880.473,4379286.124,2268.897,38.08,86398.688,12.31782826752,11.027072133280857,0.6675296957877347,0.6882843140553561,17.8964245094351,26.80993013848768,0.6648943776980475,0.035,0.001,run,builtin-1d-gis-boundary,synthetic-boundary-width,2025-10-02,truckee_reno
1,gis-hydro-007,14747.828,261459.085,4378545.73,2268.897,44.335,100591.984,12.31782826752,8.687374590326742,0.6255301609023234,0.6596050903694658,18.674550041177504,29.85395622529149,0.6237750675380291,0.035,0.001,run,builtin-1d-gis-boundary,synthetic-boundary-width,2025-10-02,truckee_reno
1,gis-hydro-008,17016.724,264315.053,4377788.126,2268.897,43.698,99146.571,12.31782826752,6.425001956908873,0.6294252586313172,0.6622992347994792,18.59858447707463,29.548519418361415,0.6276006760891611,0.035,0.001,run,builtin-1d-gis-boundary,synthetic-boundary-width,2025-10-02,truckee_reno
1,gis-hydro-009,19285.621,264591.542,4377571.85,2268.897,36.727,83329.15,12.31782826752,4.237968281379838,0.6778735549592426,0.6952235281997459,17.71779545409882,26.13731620665466,0.6749722420716971,0.035,0.001,run,builtin-1d-gis-boundary,synthetic-boundary-width,2025-10-02,truckee_reno
1,gis-hydro-010,21554.518,266790.391,4377983.368,2268.897,27.565,62542.0,12.31782826752,2.119556933241611,0.7651432638184393,0.7517616240241293,16.385284741702424,21.41466247762783,0.7589660975400432,0.035,0.001,riffle,builtin-1d-gis-boundary,synthetic-boundary-width,2025-10-02,truckee_reno
2,gis-hydro-001,1134.448,250314.845,4377153.067,2268.897,36.272,82297.529,13.054066278912,22.31290329668262,0.6327795162344776,0.6647575884605046,19.63733322570049,31.033452761805016,0.6310982629053224,0.035,0.001,run,builtin-1d-gis-boundary,synthetic-boundary-width,2025-10-03,truckee_reno
2,gis-hydro-002,3403.345,251572.223,4376973.214,2268.897,41.07,93184.373,13.054066278912,20.094098207746303,0.6624824052171121,0.6850686342340386,19.055121817841634,28.76321192499715,0.6602417919226371,0.035,0.001,run,builtin-1d-gis-boundary,synthetic-boundary-width,2025-10-03,truckee_reno
2,gis-hydro-003,5672.241,255046.34,4377568.3,2268.897,31.733,71998.52,13.054066278912,17.956097258508006,0.7388392142005675,0.7354545138534546,17.749658249446995,24.023708958994995,0.7344058034070563,0.035,0.001,run,builtin-1d-gis-boundary,synthetic-boundary-width,2025-10-03,truckee_reno
2,gis-hydro-004,7941.138,255807.002,4378156.965,2268.897,32.878,74596.156,13.054066278912,15.668277132738785,0.7279025256945892,0.7283991412956381,17.921583838899252,24.620856785457462,0.7238635538881824,0.035,0.001,run,builtin-1d-gis-boundary,synthetic-boundary-width,2025-10-03,truckee_reno
2,gis-hydro-005,10210.035,258074.8,4378762.19,2268.897,26.788,60778.296,13.054066278912,13.513172597748177,0.7932108377343767,0.7697102661173246,16.95971439326263,21.381092625643053,0.7863085553213546,0.035,0.001,riffle,builtin-1d-gis-boundary,synthetic-boundary-width,2025-10-03,truckee_reno
2,gis-hydro-006,12478.931,258880.473,4379286.124,2268.897,38.08,86398.688,13.054066278912,11.055281996495843,0.6841064544595824,0.6996012684767721,18.65929475418814,27.27542567761367,0.6813668354403226,0.035,0.001,run,builtin-1d-gis-boundary,synthetic-boundary-width,2025-10-03,truckee_reno
2,gis-hydro-007,14747.828,261459.085,4378545.73,2268.897,44.335,100591.984,13.054066278912,8.713702037241294,0.6412168151498738,0.6705676825750944,19.467186710791307,30.359757028893846,0.6393901926296819,0.035,0.001,run,builtin-1d-gis-boundary,synthetic-boundary-width,2025-10-03,truckee_reno
2,gis-hydro-008,17016.724,264315.053,4377788.126,2268.897,43.698,99146.571,13.054066278912,6.451503540188403,0.6451943764843745,0.6732954953275665,19.388316674480404,30.050349756806902,0.6432956422272587,0.035,0.001,run,builtin-1d-gis-boundary,synthetic-boundary-width,2025-10-03,truckee_reno
2,gis-hydro-009,19285.621,264591.542,4377571.85,2268.897,36.727,83329.15,13.054066278912,4.266641988955928,0.6946691268923383,0.7066262572163335,18.4737916905846,26.5936558505611,0.6916537756554366,0.035,0.001,run,builtin-1d-gis-boundary,synthetic-boundary-width,2025-10-03,truckee_reno
2,gis-hydro-010,21554.518,266790.391,4377983.368,2268.897,27.565,62542.0,13.054066278912,2.1521428292996663,0.7837793501110905,0.7638673010186492,17.089442448320348,21.803894738867697,0.7773721439995144,0.035,0.001,riffle,builtin-1d-gis-boundary,synthetic-boundary-width,2025-10-03,truckee_reno
3,gis-hydro-001,1134.448,250314.845,4377153.067,2268.897,36.272,82297.529,11.609907102720001,22.26117575466783,0.6017831465113325,0.6429032513086408,18.058560256287137,30.00841808378405,0.6002336591250703,0.035,0.001,run,builtin-1d-gis-boundary,synthetic-boundary-width,2025-10-04,truckee_reno
3,gis-hydro-002,3403.345,251572.223,4376973.214,2268.897,41.07,93184.373,11.609907102720001,20.039772397460567,0.6302549952743238,0.6627113469462296,17.5187993327991,27.796367286504243,0.6281865514027555,0.035,0.001,run,builtin-1d-gis-boundary,synthetic-boundary-width,2025-10-04,truckee_reno
3,gis-hydro-003,5672.241,255046.34,4377568.3,2268.897,31.733,71998.52,11.609907102720001,17.895077343348007,0.7034545495041732,0.7118566113524735,16.30933381465975,23.184630515440283,0.6993463007917128,0.035,0.001,run,builtin-1d-gis-boundary,synthetic-boundary-width,2025-10-04,truckee_reno
