fish_id,species,age_days,length_mm,mass_g,cell_id,alive
0,rainbow_trout,344,62.569,2.8169,gis-hydro-001,True
1,rainbow_trout,557,148.267,37.48285,gis-hydro-002,True
2,rainbow_trout,374,120.52,20.13165,gis-hydro-006,True
3,rainbow_trout,279,92.169,9.00447,gis-hydro-001,True
4,rainbow_trout,519,84.516,6.94236,gis-hydro-009,True
5,rainbow_trout,385,151.651,40.10843,gis-hydro-010,True
6,rainbow_trout,520,77.228,5.29693,gis-hydro-003,True
7,rainbow_trout,143,93.283,9.33495,gis-hydro-003,True
8,rainbow_trout,546,108.595,14.72759,gis-hydro-007,True
9,rainbow_trout,356,156.489,44.07037,gis-hydro-003,True
10,rainbow_trout,308,104.876,13.26542,gis-hydro-010,True
11,rainbow_trout,468,70.696,4.06336,gis-hydro-005,True
12,rainbow_trout,308,120.101,19.92244,gis-hydro-005,True
13,rainbow_trout,359,158.056,45.40756,gis-hydro-005,True
14,rainbow_trout,448,91.903,8.92654,gis-hydro-007,True
15,rainbow_trout,516,102.907,12.53224,gis-hydro-002,True
16,rainbow_trout,546,96.101,10.20667,gis-hydro-008,True
17,rainbow_trout,374,122.812,21.30181,gis-hydro-010,True
18,rainbow_trout,356,90.012,8.38691,gis-hydro-009,True
19,rainbow_trout,499,100.72,11.7502,gis-hydro-003,True
20,rainbow_trout,440,115.027,17.50241,gis-hydro-006,True
21,rainbow_trout,397,128.556,24.4331,gis-hydro-009,True
22,rainbow_trout,448,125.856,22.9256,gis-hydro-009,True
23,rainbow_trout,283,93.157,9.2969,gis-hydro-010,True
24,rainbow_trout,304,115.617,17.77301,gis-hydro-009,True
25,rainbow_trout,297,147.54,36.93422,gis-hydro-008,True
26,rainbow_trout,271,127.353,23.75335,gis-hydro-004,True
27,rainbow_trout,441,113.374,16.75875,gis-hydro-009,True
28,rainbow_trout,472,132.038,26.47231,gis-hydro-010,True
29,rainbow_trout,499,104.532,13.1354,gis-hydro-007,True
30,rainbow_trout,506,116.253,18.06781,gis-hydro-007,True
31,rainbow_trout,527,110.288,15.42689,gis-hydro-008,True
