fish_id,species,age_days,length_mm,mass_g,cell_id,alive
0,rainbow_trout,289,133.898,27.60709,gis-hydro-004,True
1,rainbow_trout,356,138.06,30.26242,gis-hydro-010,True
2,rainbow_trout,392,120.58,20.1617,gis-hydro-003,True
3,rainbow_trout,265,118.128,18.95623,gis-hydro-010,True
4,rainbow_trout,506,135.059,28.33118,gis-hydro-003,True
5,rainbow_trout,369,107.033,14.10119,gis-hydro-009,True
6,rainbow_trout,385,85.646,7.22469,gis-hydro-004,True
7,rainbow_trout,515,125.319,22.63345,gis-hydro-004,True
8,rainbow_trout,459,103.73,12.83527,gis-hydro-002,True
9,rainbow_trout,374,97.283,10.58789,gis-hydro-003,True
10,rainbow_trout,215,104.42,13.09327,gis-hydro-010,True
11,rainbow_trout,425,128.222,24.24311,gis-hydro-008,True
12,rainbow_trout,286,138.465,30.52956,gis-hydro-006,True
13,rainbow_trout,308,85.087,7.08407,gis-hydro-006,True
14,rainbow_trout,356,106.456,13.87438,gis-hydro-003,True
15,rainbow_trout,417,91.95,8.94022,gis-hydro-007,True
16,rainbow_trout,530,137.631,29.98105,gis-hydro-004,True
17,rainbow_trout,576,96.676,10.39079,gis-hydro-001,True
18,rainbow_trout,195,116.788,18.31865,gis-hydro-003,True
19,rainbow_trout,438,139.055,30.92131,gis-hydro-001,True
20,rainbow_trout,378,111.669,16.01397,gis-hydro-006,True
21,rainbow_trout,99,104.582,13.15441,gis-hydro-001,True
22,rainbow_trout,590,147.943,37.23774,gis-hydro-004,True
23,rainbow_trout,430,112.875,16.53839,gis-hydro-004,True
24,rainbow_trout,259,90.809,8.61175,gis-hydro-001,True
25,rainbow_trout,313,121.57,20.6622,gis-hydro-006,True
26,rainbow_trout,381,109.965,15.29185,gis-hydro-002,True
27,rainbow_trout,257,116.971,18.40465,gis-hydro-007,True
28,rainbow_trout,123,95.772,10.10218,gis-hydro-001,True
29,rainbow_trout,454,92.661,9.14927,gis-hydro-007,True
