fish_id,species,age_days,length_mm,mass_g,cell_id,alive
0,rainbow_trout,310,96.998,10.49497,clinch_lower_reach_3703_501,True
1,rainbow_trout,433,95.664,10.06793,clinch_middle_reach_4054_392,True
2,rainbow_trout,247,124.069,21.96275,clinch_upper_reach_4749_212,True
3,rainbow_trout,375,108.847,14.83004,clinch_middle_reach_3955_058,True
4,rainbow_trout,382,113.578,16.84939,clinch_middle_reach_4003_004,True
5,rainbow_trout,419,140.246,31.72233,clinch_lower_reach_1206_48,True
6,rainbow_trout,248,135.281,28.47164,clinch_lower_reach_56_997,True
7,rainbow_trout,334,97.564,10.67974,clinch_lower_reach_2602_331,True
8,rainbow_trout,450,147.36,36.79903,clinch_lower_reach_3201_497,True
9,rainbow_trout,372,117.505,18.65784,clinch_lower_reach_3703_501,True
10,rainbow_trout,534,108.015,14.49266,clinch_lower_reach_1848_563,True
11,rainbow_trout,504,117.022,18.42871,clinch_lower_reach_3752_561,True
12,rainbow_trout,300,85.819,7.26865,clinch_main_stem_4548_424,True
13,rainbow_trout,614,99.389,11.29061,clinch_middle_reach_4203_464,True
14,rainbow_trout,525,124.06,21.95813,clinch_lower_reach_2049_816,True
15,rainbow_trout,440,109.799,15.22288,clinch_lower_reach_3505_777,True
16,rainbow_trout,207,75.346,4.91905,clinch_upper_reach_4725_713,True
17,rainbow_trout,296,86.925,7.55327,clinch_lower_reach_1848_563,True
18,rainbow_trout,513,144.293,34.54882,clinch_upper_reach_4799_331,True
19,rainbow_trout,275,126.404,23.22647,clinch_middle_reach_4255_634,True
20,rainbow_trout,418,128.837,24.59357,clinch_lower_reach_756_995,True
21,rainbow_trout,412,144.454,34.66486,clinch_main_stem_4357_286,True
22,rainbow_trout,547,131.765,26.30861,clinch_lower_reach_756_995,True
23,rainbow_trout,334,97.302,10.5942,clinch_lower_reach_2899_83,True
24,rainbow_trout,431,114.636,17.32456,clinch_lower_reach_205_909,True
25,rainbow_trout,504,85.602,7.21345,clinch_lower_reach_2899_83,True
26,rainbow_trout,429,77.388,5.32998,clinch_lower_reach_1358_794,True
27,rainbow_trout,434,72.242,4.3358,clinch_lower_reach_1157_021,True
28,rainbow_trout,322,128.752,24.54507,clinch_lower_reach_2851_778,True
29,rainbow_trout,404,111.369,15.88503,clinch_lower_reach_2899_83,True
30,rainbow_trout,387,115.44,17.69177,clinch_lower_reach_3251_749,True
31,rainbow_trout,361,102.662,12.44315,clinch_lower_reach_406_373,True
32,rainbow_trout,528,125.526,22.74566,clinch_lower_reach_2800_472,True
33,rainbow_trout,257,103.12,12.61015,clinch_lower_reach_1157_021,True
34,rainbow_trout,427,126.226,23.12825,clinch_lower_reach_857_409,True
35,rainbow_trout,463,105.991,13.69336,clinch_lower_reach_3302_416,True
36,rainbow_trout,389,108.629,14.74125,clinch_lower_reach_2449_898,True
37,rainbow_trout,465,103.595,12.78551,clinch_middle_reach_4154_92,True
38,rainbow_trout,561,105.472,13.49293,clinch_lower_reach_3643_689,True
39,rainbow_trout,280,74.1,4.67892,clinch_lower_reach_3703_501,True
40,rainbow_trout,299,94.156,9.59935,clinch_lower_reach_1358_794,True
41,rainbow_trout,325,136.729,29.39519,clinch_lower_reach_3151_893,True
42,rainbow_trout,512,117.885,18.8399,clinch_lower_reach_2100_37,True
43,rainbow_trout,173,112.548,16.39485,clinch_lower_reach_756_995,True
44,rainbow_trout,506,106.377,13.84317,clinch_middle_reach_4003_004,True
45,rainbow_trout,417,62.65,2.82784,clinch_middle_reach_3869_773,True
46,rainbow_trout,449,125.993,23.00067,clinch_lower_reach_1257_213,True
47,rainbow_trout,279,72.137,4.31691,clinch_lower_reach_2150_043,True
48,rainbow_trout,334,84.97,7.05485,clinch_main_stem_4447_77,True
49,rainbow_trout,205,129.143,24.7692,clinch_main_stem_4548_424,True
50,rainbow_trout,316,108.972,14.88132,clinch_lower_reach_3251_749,True
51,rainbow_trout,349,71.976,4.28805,clinch_lower_reach_2800_472,True
52,rainbow_trout,312,111.299,15.85504,clinch_lower_reach_3355_247,True
53,rainbow_trout,489,122.693,21.23989,clinch_lower_reach_1505_627,True
54,rainbow_trout,272,104.654,13.18136,clinch_main_stem_4404_684,True
55,rainbow_trout,438,119.235,19.49428,clinch_lower_reach_1848_563,True
56,rainbow_trout,170,83.558,6.709,clinch_lower_reach_1505_627,True
57,rainbow_trout,173,110.373,15.46263,clinch_main_stem_4404_684,True
58,rainbow_trout,482,99.013,11.16295,clinch_lower_reach_1848_563,True
59,rainbow_trout,416,72.953,4.46512,clinch_main_stem_4600_028,True
60,rainbow_trout,274,152.485,40.77323,clinch_main_stem_4600_028,True
61,rainbow_trout,296,117.008,18.4225,clinch_main_stem_4357_286,True
62,rainbow_trout,381,124.275,22.07257,clinch_lower_reach_1950_5,True
63,rainbow_trout,437,102.361,12.33385,clinch_middle_reach_4101_823,True
64,rainbow_trout,561,137.78,30.07863,clinch_lower_reach_3251_749,True
65,rainbow_trout,193,103.605,12.789,clinch_lower_reach_3752_561,True
66,rainbow_trout,376,121.807,20.7833,clinch_lower_reach_2349_558,True
67,rainbow_trout,394,78.163,5.49162,clinch_upper_reach_4698_415,True
68,rainbow_trout,450,96.015,10.17911,clinch_lower_reach_3403_172,True
69,rainbow_trout,163,111.259,15.83828,clinch_main_stem_4600_028,True
70,rainbow_trout,468,102.398,12.34739,clinch_lower_reach_356_487,True
71,rainbow_trout,297,91.682,8.86228,clinch_lower_reach_3803_314,True
72,rainbow_trout,299,125.152,22.54293,clinch_lower_reach_205_909,True
73,rainbow_trout,269,101.442,12.00482,clinch_lower_reach_756_995,True
74,rainbow_trout,419,101.254,11.93799,clinch_lower_reach_2049_816,True
75,rainbow_trout,619,102.083,12.23358,clinch_lower_reach_2249_664,True
76,rainbow_trout,414,90.344,8.48014,clinch_lower_reach_2851_778,True
77,rainbow_trout,288,89.521,8.25046,clinch_lower_reach_2000_026,True
78,rainbow_trout,90,128.938,24.65151,clinch_lower_reach_1601_034,True
79,rainbow_trout,354,110.895,15.68303,clinch_lower_reach_3752_561,True
80,rainbow_trout,338,85.923,7.29506,clinch_lower_reach_1555_857,True
81,rainbow_trout,394,104.688,13.19435,clinch_lower_reach_656_691,True
82,rainbow_trout,289,90.217,8.44435,clinch_lower_reach_506_323,True
83,rainbow_trout,179,128.233,24.24909,clinch_middle_reach_4054_392,True
84,rainbow_trout,290,85.165,7.10371,clinch_lower_reach_1505_627,True
85,rainbow_trout,163,92.977,9.2433,clinch_upper_reach_4893_771,True
86,rainbow_trout,497,123.83,21.83601,clinch_lower_reach_2399_967,True
87,rainbow_trout,290,135.562,28.64899,clinch_lower_reach_2951_497,True
88,rainbow_trout,536,137.448,29.86139,clinch_lower_reach_3104_366,True
89,rainbow_trout,379,118.668,19.21749,clinch_lower_reach_1651_166,True
90,rainbow_trout,350,96.093,10.20422,clinch_lower_reach_1406_933,True
91,rainbow_trout,317,79.021,5.67448,clinch_lower_reach_2150_043,True
92,rainbow_trout,392,111.622,15.99384,clinch_middle_reach_3905_715,True
93,rainbow_trout,485,127.871,24.04465,clinch_lower_reach_3505_777,True
94,rainbow_trout,479,72.79,4.43515,clinch_lower_reach_3251_749,True
95,rainbow_trout,316,57.728,2.21232,clinch_lower_reach_12_972,True
96,rainbow_trout,362,86.928,7.55407,clinch_main_stem_4600_028,True
97,rainbow_trout,175,103.097,12.60179,clinch_lower_reach_3703_501,True
98,rainbow_trout,409,151.489,39.9798,clinch_lower_reach_1107_019,True
99,rainbow_trout,327,107.778,14.39743,clinch_lower_reach_3104_366,True
100,rainbow_trout,347,124.561,22.22493,clinch_lower_reach_806_69,True
101,rainbow_trout,454,116.034,17.96603,clinch_middle_reach_4279_376,True
102,rainbow_trout,472,115.784,17.85024,clinch_lower_reach_3803_314,True
103,rainbow_trout,230,118.338,19.05771,clinch_main_stem_4648_18,True
104,rainbow_trout,470,106.167,13.76144,clinch_lower_reach_1107_019,True
105,rainbow_trout,480,80.191,5.93018,clinch_middle_reach_4101_823,True
106,rainbow_trout,323,93.104,9.2812,clinch_lower_reach_2702_716,True
107,rainbow_trout,297,92.469,9.0926,clinch_middle_reach_4154_92,True
108,rainbow_trout,435,101.376,11.98132,clinch_lower_reach_3803_314,True
109,rainbow_trout,372,111.774,16.05897,clinch_lower_reach_2049_816,True
110,rainbow_trout,319,134.668,28.08638,clinch_middle_reach_3955_058,True
111,rainbow_trout,159,138.628,30.63728,clinch_lower_reach_1358_794,True
112,rainbow_trout,264,104.561,13.14637,clinch_lower_reach_555_532,True
113,rainbow_trout,202,109.035,14.90704,clinch_lower_reach_957_116,True
114,rainbow_trout,420,138.184,30.34408,clinch_lower_reach_1406_933,True
115,rainbow_trout,398,130.18,25.37032,clinch_lower_reach_2049_816,True
116,rainbow_trout,318,85.512,7.19072,clinch_lower_reach_2502_208,True
117,rainbow_trout,173,135.916,28.87419,clinch_lower_reach_1257_213,True
118,rainbow_trout,346,110.395,15.47188,clinch_middle_reach_4101_823,True
119,rainbow_trout,419,110.087,15.34264,clinch_middle_reach_4203_464,True
120,rainbow_trout,392,136.125,29.00765,clinch_lower_reach_106_063,True
121,rainbow_trout,552,96.453,10.31918,clinch_lower_reach_3454_843,True
122,rainbow_trout,341,108.536,14.70356,clinch_lower_reach_2800_472,True
123,rainbow_trout,431,106.791,14.0055,clinch_lower_reach_3151_893,True
124,rainbow_trout,396,156.724,44.26923,clinch_lower_reach_756_995,True
125,rainbow_trout,399,158.231,45.55844,clinch_middle_reach_4279_376,True
126,rainbow_trout,279,116.033,17.96576,clinch_main_stem_4404_684,True
127,rainbow_trout,489,78.615,5.58742,clinch_lower_reach_356_487,True
128,rainbow_trout,436,97.298,10.5929,clinch_lower_reach_1455_81,True
129,rainbow_trout,352,113.115,16.64413,clinch_lower_reach_3251_749,True
130,rainbow_trout,274,117.927,18.85978,clinch_lower_reach_3201_497,True
131,rainbow_trout,230,88.683,8.0209,clinch_lower_reach_3302_416,True
132,rainbow_trout,130,82.027,6.34696,clinch_lower_reach_3050_277,True
133,rainbow_trout,466,168.051,54.57864,clinch_lower_reach_56_997,True
134,rainbow_trout,435,87.239,7.63533,clinch_main_stem_4304_172,True
135,rainbow_trout,405,114.849,17.42145,clinch_upper_reach_4725_713,True
136,rainbow_trout,178,117.635,18.72002,clinch_lower_reach_2399_967,True
137,rainbow_trout,361,80.005,5.88905,clinch_lower_reach_1505_627,True
138,rainbow_trout,388,128.057,24.14954,clinch_lower_reach_3001_418,True
139,rainbow_trout,322,107.116,14.13399,clinch_lower_reach_3104_366,True
140,rainbow_trout,413,98.507,10.99248,clinch_middle_reach_3869_773,True
141,rainbow_trout,397,95.794,10.10906,clinch_lower_reach_1257_213,True
142,rainbow_trout,333,93.209,9.31269,clinch_middle_reach_3869_773,True
143,rainbow_trout,252,143.329,33.86101,clinch_lower_reach_806_69,True
144,rainbow_trout,311,118.939,19.34947,clinch_lower_reach_1601_034,True
145,rainbow_trout,177,151.692,40.14051,clinch_main_stem_4600_028,True
146,rainbow_trout,234,118.542,19.15623,clinch_lower_reach_3505_777,True
147,rainbow_trout,300,127.825,24.01825,clinch_lower_reach_356_487,True
148,rainbow_trout,255,123.395,21.60691,clinch_upper_reach_4749_212,True
149,rainbow_trout,99,89.45,8.23079,clinch_lower_reach_806_69,True
150,rainbow_trout,343,129.048,24.71463,clinch_lower_reach_1006_928,True
151,rainbow_trout,389,124.846,22.37785,clinch_lower_reach_3201_497,True
152,rainbow_trout,355,88.475,7.96455,clinch_lower_reach_2449_898,True
153,rainbow_trout,485,126.617,23.34381,clinch_lower_reach_155_785,True
154,rainbow_trout,263,84.845,7.02393,clinch_lower_reach_756_995,True
155,rainbow_trout,159,125.267,22.60504,clinch_lower_reach_1950_5,True
156,rainbow_trout,320,108.987,14.88736,clinch_lower_reach_3050_277,True
157,rainbow_trout,254,94.036,9.56265,clinch_lower_reach_1505_627,True
158,rainbow_trout,462,97.161,10.54817,clinch_lower_reach_756_995,True
159,rainbow_trout,352,92.683,9.15585,clinch_lower_reach_3251_749,True
160,rainbow_trout,354,104.707,13.20173,clinch_upper_reach_4799_331,True
161,rainbow_trout,480,125.064,22.49566,clinch_lower_reach_3554_046,True
162,rainbow_trout,443,126.722,23.40209,clinch_lower_reach_2249_664,True
163,rainbow_trout,342,87.769,7.77538,clinch_lower_reach_857_409,True
164,rainbow_trout,386,115.136,17.55216,clinch_main_stem_4548_424,True
165,rainbow_trout,416,115.506,17.72186,clinch_main_stem_4404_684,True
166,rainbow_trout,342,123.341,21.57837,clinch_lower_reach_2100_37,True
167,rainbow_trout,387,75.043,4.85998,clinch_lower_reach_2300_954,True
168,rainbow_trout,200,104.028,12.94627,clinch_lower_reach_907_062,True
169,rainbow_trout,314,154.56,42.4607,clinch_lower_reach_2349_558,True
170,rainbow_trout,309,95.314,9.95804,clinch_lower_reach_3403_172,True
171,rainbow_trout,433,72.555,4.39235,clinch_lower_reach_2800_472,True
172,rainbow_trout,274,93.127,9.28815,clinch_lower_reach_555_532,True
173,rainbow_trout,418,107.879,14.438,clinch_lower_reach_2049_816,True
174,rainbow_trout,282,108.282,14.60054,clinch_lower_reach_2650_661,True
175,rainbow_trout,409,137.497,29.89372,clinch_lower_reach_1006_928,True
176,rainbow_trout,507,115.015,17.4969,clinch_lower_reach_555_532,True
177,rainbow_trout,411,115.51,17.72397,clinch_lower_reach_56_997,True
178,rainbow_trout,319,110.373,15.46279,clinch_middle_reach_4203_464,True
179,rainbow_trout,392,113.221,16.69097,clinch_middle_reach_4255_634,True
180,rainbow_trout,465,71.807,4.2579,clinch_lower_reach_2100_37,True
181,rainbow_trout,489,142.025,32.94487,clinch_lower_reach_907_062,True
182,rainbow_trout,284,122.03,20.89787,clinch_upper_reach_4725_713,True
183,rainbow_trout,342,112.129,16.21239,clinch_lower_reach_3050_277,True
184,rainbow_trout,233,96.074,10.19787,clinch_lower_reach_1406_933,True
185,rainbow_trout,399,80.641,6.03062,clinch_lower_reach_2756_251,True
186,rainbow_trout,498,93.975,9.54399,clinch_lower_reach_1406_933,True
187,rainbow_trout,590,68.699,3.72866,clinch_main_stem_4447_77,True
