station,meas_wse
4894.381,349.125
4893.381,349.125
4892.381,349.125
4891.381,349.125
4890.38,349.125
4889.38,349.125
4888.38,349.125
4887.38,349.125
4886.38,349.125
4885.379,349.125
4884.379,349.125
4883.379,349.125
4882.379,349.125
4881.379,349.125
4880.378,349.125
4879.378,349.125
4878.378,349.125
4877.378,349.125
4876.378,349.125
4875.377,349.125
4874.377,349.125
4873.377,349.125
4872.377,349.025
4871.377,349.125
4870.376,349.125
4869.376,349.125
4868.376,349.125
4867.376,349.125
4866.376,349.125
4865.375,349.125
4864.375,349.125
4863.375,349.125
4862.375,349.125
4861.375,349.125
4860.374,349.125
4859.374,349.125
4859.079,348.976
4858.374,349.125
4857.374,349.125
4856.374,349.125
4855.373,349.075
4854.373,349.075
4853.373,349.075
4852.373,349.125
4851.373,349.125
4850.372,349.125
4849.372,349.125
4848.372,349.125
4847.372,349.125
4846.372,349.125
4845.371,349.125
4844.371,349.125
4843.371,349.125
4842.371,349.125
4841.371,349.125
4840.37,349.125
4839.37,349.125
4838.37,349.125
4837.37,349.125
4836.37,349.125
4835.369,349.125
4834.369,349.025
4833.369,349.125
4832.369,349.125
4831.369,349.125
4830.368,349.125
4829.368,349.125
4828.368,349.125
4827.368,349.125
4826.368,349.125
4825.367,349.125
4824.367,349.125
4823.367,349.125
4822.367,349.125
4821.367,349.125
4820.366,349.125
4819.366,349.125
4818.366,349.125
4817.366,349.125
4816.366,349.125
4815.365,349.125
4814.365,349.125
4813.365,349.125
4812.365,349.125
4811.365,349.125
4810.364,349.125
4809.364,349.125
4808.364,349.125
4807.364,349.075
4806.364,349.075
4805.363,349.075
4804.363,349.075
4803.363,349.125
4802.363,349.125
4801.363,349.125
4800.362,349.125
4799.362,349.125
4798.362,349.125
4797.362,349.125
4796.362,349.125
4795.361,349.125
4794.361,349.125
4793.361,349.125
4792.361,349.125
4791.361,349.075
4790.36,349.025
4789.36,349.125
4788.36,349.125
4787.36,349.125
4786.36,349.125
4785.359,349.125
4784.359,349.125
4783.359,349.125
4782.359,349.125
4781.359,349.125
4780.358,349.125
4779.358,349.025
4778.358,349.025
4777.358,349.025
4776.358,349.025
4775.357,349.025
4774.357,349.025
4773.357,349.025
